country_id,latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
USA,41.126748,-80.685908,018,032,4926,978,2023-09-29,1604,L8,H,D
USA,41.129273,-80.87711,018,032,4391,970,2023-09-29,1604,L8,H,D
USA,41.129273,-80.87711,018,031,3101,6250,2023-09-29,1604,L8,H,D
USA,41.132438,-80.691242,018,032,4911,957,2023-09-29,1604,L8,M,D
USA,41.132438,-80.691242,018,031,3621,6237,2023-09-29,1604,L8,M,D
USA,41.132708,-80.691241,018,031,3621,6236,2023-09-29,1604,L8,H,D
USA,41.132708,-80.691241,018,032,4911,956,2023-09-29,1604,L8,H,D
USA,41.135183,-80.847789,018,032,4473,948,2023-09-29,1604,L8,H,D
USA,41.135183,-80.847789,018,031,3183,6228,2023-09-29,1604,L8,H,D
USA,41.135184,-80.848146,018,032,4472,948,2023-09-29,1604,L8,L,D
USA,41.135184,-80.848146,018,031,3182,6228,2023-09-29,1604,L8,L,D
USA,41.157164,-80.953219,018,031,2888,6147,2023-09-29,1604,L8,M,D
USA,41.157164,-80.953219,018,032,4178,867,2023-09-29,1604,L8,M,D
USA,41.208101,-80.815772,018,031,3272,5958,2023-09-29,1604,L8,H,D
USA,41.208371,-80.815772,018,031,3272,5957,2023-09-29,1604,L8,H,D
USA,41.208372,-80.816129,018,031,3271,5957,2023-09-29,1604,L8,M,D
USA,41.222805,-81.617827,018,032,2321,618,2023-09-29,1604,L8,H,D
USA,41.222805,-81.617827,018,031,1031,5898,2023-09-29,1604,L8,H,D
USA,41.223075,-81.61783,018,032,2321,617,2023-09-29,1604,L8,H,D
USA,41.223075,-81.61783,018,031,1031,5897,2023-09-29,1604,L8,H,D
USA,41.235786,-80.922734,018,031,2973,5856,2023-09-29,1604,L8,L,D
USA,41.235787,-80.923092,018,031,2972,5856,2023-09-29,1604,L8,H,D
USA,41.237449,-80.504589,018,031,4141,5846,2023-09-29,1604,L8,M,D
USA,41.237719,-80.504587,018,031,4141,5845,2023-09-29,1604,L8,M,D
USA,41.307262,-80.597598,018,031,3880,5589,2023-09-29,1604,L8,H,D
USA,41.315568,-80.257402,018,031,4829,5552,2023-09-29,1604,L8,H,D
USA,41.31557,-80.257761,018,031,4828,5552,2023-09-29,1604,L8,H,D
USA,41.315841,-80.257758,018,031,4828,5551,2023-09-29,1604,L8,H,D
USA,41.31739,-80.913318,018,031,2999,5554,2023-09-29,1604,L8,L,D
USA,41.327098,-80.727249,018,031,3518,5517,2023-09-29,1604,L8,H,D
USA,41.327099,-80.727608,018,031,3517,5517,2023-09-29,1604,L8,H,D
USA,41.327218,-80.516815,018,031,4105,5514,2023-09-29,1604,L8,M,D
USA,41.330284,-80.235008,018,031,4891,5497,2023-09-29,1604,L8,H,D
USA,41.394428,-80.387129,018,031,4465,5263,2023-09-29,1604,L8,M,D
USA,41.39443,-80.387488,018,031,4464,5263,2023-09-29,1604,L8,M,D
USA,41.421356,-80.420982,018,031,4370,5164,2023-09-29,1604,L8,H,D
USA,41.421357,-80.421341,018,031,4369,5164,2023-09-29,1604,L8,L,D
USA,41.444386,-80.898425,018,031,3040,5084,2023-09-29,1604,L8,H,D
USA,41.446553,-80.333486,018,031,4613,5069,2023-09-29,1604,L8,L,D
USA,41.446824,-80.333483,018,031,4613,5068,2023-09-29,1604,L8,L,D
USA,41.453856,-80.736058,018,031,3492,5048,2023-09-29,1604,L8,H,D
USA,41.462979,-81.676502,018,031,874,5008,2023-09-29,1604,L8,H,D
USA,41.463249,-81.676504,018,031,874,5007,2023-09-29,1604,L8,H,D
USA,41.463251,-81.676145,018,031,875,5007,2023-09-29,1604,L8,M,D
USA,41.463257,-81.675067,018,031,878,5007,2023-09-29,1604,L8,H,D
USA,41.463259,-81.674708,018,031,879,5007,2023-09-29,1604,L8,H,D
USA,41.463266,-81.673631,018,031,882,5007,2023-09-29,1604,L8,M,D
USA,41.466361,-80.770855,018,031,3395,5002,2023-09-29,1604,L8,L,D
USA,41.472493,-81.6669,018,031,901,4973,2023-09-29,1604,L8,M,D
USA,41.472763,-81.666902,018,031,901,4972,2023-09-29,1604,L8,M,D
USA,41.475488,-81.662978,018,031,912,4962,2023-09-29,1604,L8,M,D
USA,41.47549,-81.662619,018,031,913,4962,2023-09-29,1604,L8,H,D
